@dimension	2
0	133	(-6.2568299999999999, 53.347999999999999), (-6.2568299999999999, 53.347999999999999), (-6.2568299999999999, 53.347999999999999), (-6.2568299999999999, 53.347999999999999), (-6.2568299999999999, 53.347999999999999), (-6.2568299999999999, 53.347999999999999), (-6.2568299999999999, 53.347999999999999), (-6.2582100000000001, 53.347799999999999), (-6.2568299999999999, 53.347999999999999), (-6.2582100000000001, 53.347799999999999), (-6.2589100000000002, 53.3476), (-6.2589100000000002, 53.3476), (-6.2590599999999998, 53.3476), (-6.2589399999999999, 53.347299999999997), (-6.2589399999999999, 53.347299999999997), (-6.2589399999999999, 53.347299999999997), (-6.25868, 53.346899999999998), (-6.2573499999999997, 53.345799999999997), (-6.2590199999999996, 53.344999999999999), (-6.2602400000000005, 53.344299999999997), (-6.26267, 53.344299999999997), (-6.2637900000000002, 53.344200000000001), (-6.2644299999999999, 53.343699999999998), (-6.2645099999999996, 53.342599999999997), (-6.2650100000000002, 53.341900000000003), (-6.2655099999999999, 53.341099999999997), (-6.2656099999999997, 53.340699999999998), (-6.2661100000000003, 53.338500000000003), (-6.2659199999999995, 53.337899999999998), (-6.2654800000000002, 53.336399999999998), (-6.2651399999999997, 53.3337), (-6.2628599999999999, 53.333599999999997), (-6.2626800000000005, 53.332900000000002), (-6.2643599999999999, 53.332599999999999), (-6.2645200000000001, 53.331099999999999), (-6.2644000000000002, 53.330599999999997), (-6.2644299999999999, 53.3294), (-6.2645099999999996, 53.328999999999994), (-6.2649400000000002, 53.326500000000003), (-6.2653600000000003, 53.324300000000001), (-6.2655400000000006, 53.3232), (-6.2655900000000004, 53.322800000000001), (-6.2655900000000004, 53.322800000000001), (-6.2663400000000005, 53.3217), (-6.2685000000000004, 53.32), (-6.2688300000000003, 53.319499999999998), (-6.2698900000000002, 53.318000000000005), (-6.2708300000000001, 53.316699999999997), (-6.2714400000000001, 53.315800000000003), (-6.2719899999999997, 53.315100000000001), (-6.2731599999999998, 53.313400000000001), (-6.2736900000000002, 53.3127), (-6.2749499999999996, 53.311900000000001), (-6.2779400000000001, 53.311300000000003), (-6.27902, 53.311000000000007), (-6.2822399999999998, 53.310200000000002), (-6.2823900000000004, 53.310200000000002), (-6.2843900000000001, 53.309600000000003), (-6.28545, 53.309100000000001), (-6.2874300000000005, 53.307899999999997), (-6.2941799999999999, 53.303699999999999), (-6.2969499999999998, 53.302), (-6.2981600000000002, 53.301200000000001), (-6.2997699999999996, 53.299900000000001), (-6.3024699999999996, 53.2986), (-6.3060400000000003, 53.2971), (-6.30837, 53.296300000000002), (-6.30837, 53.296300000000002), (-6.3098099999999997, 53.296100000000003), (-6.31332, 53.295400000000001), (-6.3150300000000001, 53.294800000000002), (-6.3173399999999997, 53.2941), (-6.3193800000000007, 53.293500000000002), (-6.32158, 53.293100000000003), (-6.32158, 53.293100000000003), (-6.3242500000000001, 53.292499999999997), (-6.3285599999999995, 53.291499999999999), (-6.3292999999999999, 53.2913), (-6.3293999999999997, 53.291200000000003), (-6.3313300000000003, 53.290100000000002), (-6.3338099999999997, 53.289700000000003), (-6.3353400000000004, 53.289200000000001), (-6.3385899999999999, 53.2883), (-6.3393499999999996, 53.289099999999998), (-6.3394300000000001, 53.289299999999997), (-6.34192, 53.2896), (-6.3433400000000004, 53.289400000000001), (-6.3472800000000005, 53.288999999999994), (-6.3516399999999997, 53.288600000000002), (-6.3555099999999998, 53.288200000000003), (-6.35717, 53.288200000000003), (-6.3584300000000002, 53.288200000000003), (-6.3612900000000003, 53.2879), (-6.3612900000000003, 53.2879), (-6.3578800000000006, 53.291000000000004), (-6.3578999999999999, 53.293900000000001), (-6.3586800000000006, 53.293900000000001), (-6.3621699999999999, 53.293799999999997), (-6.3666499999999999, 53.293300000000002), (-6.3688000000000002, 53.2926), (-6.3681199999999993, 53.290700000000001), (-6.3737500000000002, 53.289499999999997), (-6.3750099999999996, 53.289299999999997), (-6.37561, 53.288800000000002), (-6.3753400000000005, 53.288000000000004), (-6.3750499999999999, 53.286999999999999), (-6.3751800000000003, 53.286099999999998), (-6.3761900000000002, 53.285699999999999), (-6.3794599999999999, 53.284700000000001), (-6.3798300000000001, 53.284399999999998), (-6.38178, 53.283900000000003), (-6.3841900000000003, 53.2834), (-6.3845599999999996, 53.283299999999997), (-6.3850800000000003, 53.283099999999997), (-6.3845400000000003, 53.2821), (-6.3839199999999998, 53.280200000000001), (-6.3821099999999999, 53.277900000000002), (-6.3789699999999998, 53.276400000000002), (-6.3790800000000001, 53.275199999999998), (-6.3798599999999999, 53.273899999999998), (-6.3821300000000001, 53.2729), (-6.3844199999999995, 53.272799999999997), (-6.38788, 53.273299999999999), (-6.3905699999999994, 53.273699999999998), (-6.3934199999999999, 53.274299999999997), (-6.39466, 53.275799999999997), (-6.3949600000000002, 53.2776), (-6.3951799999999999, 53.277999999999999), (-6.4075100000000003, 53.274299999999997), (-6.4157800000000007, 53.275100000000002), (-6.4212800000000003, 53.280099999999997), (-6.4225199999999996, 53.2879), (-6.3681199999999993, 53.290700000000001)
1	7	(-6.4227999999999996, 53.288000000000004), (-6.4257099999999996, 53.289299999999997), (-6.4268099999999997, 53.290300000000002), (-6.4268099999999997, 53.290300000000002), (-6.4268099999999997, 53.290300000000002), (-6.4271699999999994, 53.290599999999998), (-6.4271699999999994, 53.290599999999998)
2	143	(-6.2728400000000004, 53.313899999999997), (-6.2728400000000004, 53.313899999999997), (-6.2728400000000004, 53.313899999999997), (-6.2805099999999996, 53.310600000000001), (-6.2850000000000001, 53.309399999999997), (-6.2877199999999993, 53.307699999999997), (-6.2924100000000003, 53.3048), (-6.2723500000000003, 53.314599999999999), (-6.2735900000000004, 53.312800000000003), (-6.2737699999999998, 53.312600000000003), (-6.2742199999999997, 53.311999999999998), (-6.2770700000000001, 53.311500000000002), (-6.2804000000000002, 53.310699999999997), (-6.2804000000000002, 53.310699999999997), (-6.2866599999999995, 53.308300000000003), (-6.28308, 53.310000000000002), (-6.2840800000000003, 53.309699999999999), (-6.28545, 53.309100000000001), (-6.2862800000000005, 53.308599999999998), (-6.2908300000000006, 53.305799999999998), (-6.2949599999999997, 53.303199999999997), (-6.2951899999999998, 53.303100000000001), (-6.29549, 53.302900000000001), (-6.2960400000000005, 53.302599999999998), (-6.2966300000000004, 53.302199999999999), (-6.2978899999999998, 53.301400000000001), (-6.2981600000000002, 53.301200000000001), (-6.2995700000000001, 53.3001), (-6.2995900000000002, 53.3001), (-6.2998000000000003, 53.299900000000001), (-6.3016699999999997, 53.298900000000003), (-6.3024300000000002, 53.2986), (-6.3033000000000001, 53.298499999999997), (-6.30837, 53.296300000000002), (-6.3106200000000001, 53.296000000000006), (-6.3135900000000005, 53.295400000000001), (-6.31501, 53.294899999999998), (-6.3156699999999999, 53.294600000000003), (-6.31623, 53.294400000000003), (-6.3166900000000004, 53.2943), (-6.3170299999999999, 53.294199999999996), (-6.31839, 53.293799999999997), (-6.3189299999999999, 53.293700000000001), (-6.3207100000000001, 53.293300000000002), (-6.32158, 53.293100000000003), (-6.32186, 53.293100000000003), (-6.3248300000000004, 53.292400000000001), (-6.3264699999999996, 53.292000000000002), (-6.3266599999999995, 53.292000000000002), (-6.3280799999999999, 53.291600000000003), (-6.32897, 53.291400000000003), (-6.32897, 53.291400000000003), (-6.3296800000000006, 53.290799999999997), (-6.3324199999999999, 53.290100000000002), (-6.3355300000000003, 53.289200000000001), (-6.3380400000000003, 53.288499999999999), (-6.3391900000000003, 53.288800000000002), (-6.3393499999999996, 53.289099999999998), (-6.3417599999999998, 53.2896), (-6.3458500000000004, 53.289200000000001), (-6.3493199999999996, 53.288800000000002), (-6.3499999999999996, 53.288699999999999), (-6.3536999999999999, 53.288499999999999), (-6.3555099999999998, 53.288200000000003), (-6.3562699999999994, 53.288200000000003), (-6.3563400000000003, 53.288200000000003), (-6.3566000000000003, 53.288200000000003), (-6.3586800000000006, 53.288200000000003), (-6.3578700000000001, 53.291000000000004), (-6.3561500000000004, 53.293300000000002), (-6.3560300000000005, 53.293500000000002), (-6.3581300000000001, 53.293900000000001), (-6.3583999999999996, 53.293900000000001), (-6.3608699999999994, 53.293900000000001), (-6.3646000000000003, 53.293500000000002), (-6.3680699999999995, 53.293100000000003), (-6.3685999999999998, 53.292000000000002), (-6.3683300000000003, 53.290500000000002), (-6.3729300000000002, 53.289700000000003), (-6.3737500000000002, 53.289499999999997), (-6.3742300000000007, 53.289400000000001), (-6.3747099999999994, 53.289299999999997), (-6.3755800000000002, 53.288699999999999), (-6.3750400000000003, 53.286900000000003), (-6.3753800000000007, 53.285899999999998), (-6.3763100000000001, 53.285699999999999), (-6.37852, 53.2851), (-6.3786699999999996, 53.284999999999997), (-6.3795500000000001, 53.284599999999998), (-6.3799099999999997, 53.284100000000002), (-6.3833599999999997, 53.2836), (-6.3845300000000007, 53.283299999999997), (-6.3845300000000007, 53.283299999999997), (-6.3853800000000005, 53.283000000000001), (-6.3843699999999997, 53.2819), (-6.3839199999999998, 53.280200000000001), (-6.3837400000000004, 53.279600000000002), (-6.3823999999999996, 53.277999999999999), (-6.3793699999999998, 53.277299999999997), (-6.3789699999999998, 53.276600000000002), (-6.3789699999999998, 53.276400000000002), (-6.37906, 53.275300000000001), (-6.3797199999999998, 53.274099999999997), (-6.3801500000000004, 53.273699999999998), (-6.3821900000000005, 53.2729), (-6.3849900000000002, 53.2729), (-6.3879000000000001, 53.273299999999999), (-6.3904300000000003, 53.273699999999998), (-6.39297, 53.274099999999997), (-6.39459, 53.275399999999998), (-6.3947500000000002, 53.276200000000003), (-6.3948199999999993, 53.276699999999998), (-6.3949499999999997, 53.277500000000003), (-6.3949499999999997, 53.277500000000003), (-6.3949499999999997, 53.277500000000003), (-6.3949499999999997, 53.277500000000003), (-6.3952999999999998, 53.278199999999998), (-6.39635, 53.277999999999999), (-6.39635, 53.277999999999999), (-6.3988399999999999, 53.277099999999997), (-6.4007100000000001, 53.275300000000001), (-6.4031099999999999, 53.2742), (-6.4052199999999999, 53.2742), (-6.4084400000000006, 53.2744), (-6.4101800000000004, 53.274500000000003), (-6.4183300000000001, 53.276899999999998), (-6.4212699999999998, 53.279899999999998), (-6.4214099999999998, 53.280799999999999), (-6.4214099999999998, 53.281599999999997), (-6.42143, 53.2819), (-6.4214900000000004, 53.282600000000002), (-6.4214900000000004, 53.282600000000002), (-6.4215200000000001, 53.282899999999998), (-6.4215800000000005, 53.283499999999997), (-6.4216699999999998, 53.284300000000002), (-6.4217500000000003, 53.284799999999997), (-6.4218999999999999, 53.286099999999998), (-6.4228199999999998, 53.288200000000003), (-6.4253499999999999, 53.289099999999998), (-6.4259900000000005, 53.289499999999997), (-6.4269499999999997, 53.290500000000002), (-6.4269499999999997, 53.290500000000002), (-6.4271199999999995, 53.290599999999998)
3	122	(-6.2561499999999999, 53.347999999999999), (-6.2561300000000006, 53.347999999999999), (-6.2561200000000001, 53.347999999999999), (-6.2561200000000001, 53.347999999999999), (-6.2561300000000006, 53.347999999999999), (-6.2561499999999999, 53.347999999999999), (-6.2561200000000001, 53.347999999999999), (-6.2561200000000001, 53.347999999999999), (-6.2561200000000001, 53.347999999999999), (-6.2561200000000001, 53.347999999999999), (-6.2561, 53.348100000000002), (-6.2561, 53.348100000000002), (-6.2577499999999997, 53.347900000000003), (-6.2578199999999997, 53.347900000000003), (-6.2578199999999997, 53.347900000000003), (-6.2587000000000002, 53.347700000000003), (-6.2588999999999997, 53.347200000000001), (-6.2582100000000001, 53.347799999999999), (-6.2576900000000002, 53.3461), (-6.2586199999999996, 53.345199999999998), (-6.2602199999999995, 53.344299999999997), (-6.2614199999999993, 53.344299999999997), (-6.2637599999999996, 53.344200000000001), (-6.2644299999999999, 53.343800000000002), (-6.2644000000000002, 53.3431), (-6.2654300000000003, 53.341299999999997), (-6.2655400000000006, 53.341000000000001), (-6.26593, 53.339300000000001), (-6.26586, 53.337699999999998), (-6.2652900000000002, 53.335700000000003), (-6.2652800000000006, 53.334400000000002), (-6.2639899999999997, 53.3337), (-6.2626400000000002, 53.332999999999998), (-6.2629299999999999, 53.332700000000003), (-6.2644800000000007, 53.3322), (-6.2643399999999998, 53.330399999999997), (-6.2644299999999999, 53.3294), (-6.2645200000000001, 53.328899999999997), (-6.2648699999999993, 53.326900000000002), (-6.2652400000000004, 53.3249), (-6.2655400000000006, 53.3232), (-6.2660099999999996, 53.321800000000003), (-6.2679199999999993, 53.320799999999998), (-6.2692699999999997, 53.318899999999999), (-6.2702200000000001, 53.317599999999999), (-6.2713099999999997, 53.316000000000003), (-6.2727399999999998, 53.313999999999993), (-6.2736499999999999, 53.3127), (-6.2741300000000004, 53.311999999999998), (-6.2775400000000001, 53.311399999999999), (-6.2808999999999999, 53.310499999999998), (-6.2837500000000004, 53.309800000000003), (-6.2864300000000002, 53.308500000000002), (-6.2891500000000002, 53.306800000000003), (-6.2947199999999999, 53.303400000000003), (-6.2981600000000002, 53.301200000000001), (-6.29969, 53.299999999999997), (-6.3019499999999997, 53.2988), (-6.3071599999999997, 53.296700000000001), (-6.30837, 53.296300000000002), (-6.30898, 53.296199999999999), (-6.3121199999999993, 53.2958), (-6.31501, 53.294899999999998), (-6.3231400000000004, 53.2928), (-6.3270800000000005, 53.291899999999998), (-6.3296900000000003, 53.290799999999997), (-6.3399800000000006, 53.2896), (-6.3423800000000004, 53.289499999999997), (-6.3456900000000003, 53.289200000000001), (-6.3541800000000004, 53.288400000000003), (-6.3571999999999997, 53.288200000000003), (-6.3579300000000005, 53.288200000000003), (-6.3612400000000004, 53.2879), (-6.3623799999999999, 53.2879), (-6.3643400000000003, 53.289299999999997), (-6.36686, 53.289200000000001), (-6.3684000000000003, 53.290500000000002), (-6.3707799999999999, 53.290199999999999), (-6.3749000000000002, 53.289299999999997), (-6.3754300000000006, 53.2883), (-6.3750999999999998, 53.287300000000002), (-6.37507, 53.286299999999997), (-6.3755600000000001, 53.285699999999999), (-6.3776000000000002, 53.285499999999999), (-6.3796599999999994, 53.284599999999998), (-6.3805199999999997, 53.283999999999999), (-6.3841800000000006, 53.2834), (-6.3847300000000002, 53.282299999999999), (-6.3840399999999997, 53.280500000000004), (-6.3833500000000001, 53.278500000000001), (-6.3806199999999995, 53.2774), (-6.3789699999999998, 53.277099999999997), (-6.3789699999999998, 53.276400000000002), (-6.3791500000000001, 53.274999999999999), (-6.3798599999999999, 53.273899999999998), (-6.3805100000000001, 53.273499999999999), (-6.3829699999999994, 53.272799999999997), (-6.3857800000000005, 53.273000000000003), (-6.3889399999999998, 53.273400000000002), (-6.3916199999999996, 53.273800000000001), (-6.3942500000000004, 53.274900000000002), (-6.3948, 53.276499999999999), (-6.3952200000000001, 53.278100000000002), (-6.3972600000000002, 53.277700000000003), (-6.3993800000000007, 53.276499999999999), (-6.4007699999999996, 53.275300000000001), (-6.4020400000000004, 53.274700000000003), (-6.4055499999999999, 53.2742), (-6.4106899999999998, 53.2746), (-6.4149799999999999, 53.274999999999999), (-6.4187799999999999, 53.277200000000001), (-6.4205500000000004, 53.278799999999997), (-6.4214099999999998, 53.280799999999999), (-6.42157, 53.2834), (-6.4217399999999998, 53.284799999999997), (-6.4221699999999995, 53.287100000000002), (-6.4221699999999995, 53.287100000000002), (-6.4270300000000002, 53.290599999999998), (-6.4270300000000002, 53.290599999999998), (-6.4270300000000002, 53.290599999999998), (-6.4272, 53.290700000000001), (-6.4272, 53.290700000000001)
4	222	(-6.2565999999999997, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2566199999999998, 53.347999999999999), (-6.2582100000000001, 53.347799999999999), (-6.2566199999999998, 53.347999999999999), (-6.2582100000000001, 53.347799999999999), (-6.2586300000000001, 53.347700000000003), (-6.2586300000000001, 53.347700000000003), (-6.2586300000000001, 53.347700000000003), (-6.2586300000000001, 53.347700000000003), (-6.2586300000000001, 53.347700000000003), (-6.2589300000000003, 53.347299999999997), (-6.2589199999999998, 53.347299999999997), (-6.2589199999999998, 53.347299999999997), (-6.2583800000000007, 53.346600000000002), (-6.2576099999999997, 53.345599999999997), (-6.2591599999999996, 53.344900000000003), (-6.2602400000000005, 53.344299999999997), (-6.26037, 53.344299999999997), (-6.2615499999999997, 53.344299999999997), (-6.2621400000000005, 53.344299999999997), (-6.2637700000000001, 53.343899999999998), (-6.2644000000000002, 53.3431), (-6.2649900000000001, 53.341900000000003), (-6.2654199999999998, 53.3414), (-6.2657499999999997, 53.3401), (-6.2658100000000001, 53.339799999999997), (-6.2660900000000002, 53.3386), (-6.2659900000000004, 53.338099999999997), (-6.2659900000000004, 53.338099999999997), (-6.2659900000000004, 53.338099999999997), (-6.2659900000000004, 53.338099999999997), (-6.2659900000000004, 53.338099999999997), (-6.2659199999999995, 53.337899999999998), (-6.2656400000000003, 53.336999999999996), (-6.2654300000000003, 53.336199999999998), (-6.2652599999999996, 53.335000000000001), (-6.2652800000000006, 53.334400000000002), (-6.2652800000000006, 53.334299999999999), (-6.2651399999999997, 53.3337), (-6.2651399999999997, 53.3337), (-6.2651399999999997, 53.3337), (-6.2651399999999997, 53.3337), (-6.2645800000000005, 53.3337), (-6.2628300000000001, 53.333500000000001), (-6.2626400000000002, 53.332999999999998), (-6.2626400000000002, 53.332999999999998), (-6.2626499999999998, 53.332999999999998), (-6.2641400000000003, 53.332599999999999), (-6.26464, 53.331499999999998), (-6.2643699999999995, 53.330500000000001), (-6.2643699999999995, 53.330500000000001), (-6.2643699999999995, 53.330500000000001), (-6.2644000000000002, 53.329599999999999), (-6.2644800000000007, 53.329099999999997), (-6.2647199999999996, 53.327800000000003), (-6.26478, 53.327399999999997), (-6.2648099999999998, 53.327199999999998), (-6.2649300000000006, 53.326599999999999), (-6.26518, 53.325299999999999), (-6.26518, 53.325000000000003), (-6.2654800000000002, 53.323599999999999), (-6.2655400000000006, 53.3232), (-6.2655900000000004, 53.322800000000001), (-6.2656499999999999, 53.322400000000002), (-6.2661600000000002, 53.3217), (-6.2665800000000003, 53.321599999999997), (-6.2667400000000004, 53.321599999999997), (-6.2679900000000002, 53.320700000000002), (-6.2691600000000003, 53.318999999999996), (-6.2696800000000001, 53.318300000000001), (-6.2702900000000001, 53.317500000000003), (-6.27128, 53.316099999999999), (-6.2723800000000001, 53.314500000000002), (-6.2732599999999996, 53.313299999999998), (-6.2739099999999999, 53.312399999999997), (-6.2754199999999996, 53.311799999999998), (-6.2757699999999996, 53.311700000000002), (-6.2781099999999999, 53.311300000000003), (-6.2806499999999996, 53.310600000000001), (-6.2814699999999997, 53.310400000000001), (-6.2815199999999995, 53.310400000000001), (-6.2823900000000004, 53.310200000000002), (-6.2823900000000004, 53.310200000000002), (-6.2823900000000004, 53.310200000000002), (-6.28315, 53.310000000000002), (-6.2850999999999999, 53.3093), (-6.2855400000000001, 53.308999999999997), (-6.2875399999999999, 53.3078), (-6.2893600000000003, 53.306699999999999), (-6.2910500000000003, 53.305599999999998), (-6.2920499999999997, 53.305), (-6.2943499999999997, 53.303600000000003), (-6.2967000000000004, 53.302199999999999), (-6.2968500000000001, 53.302100000000003), (-6.2998400000000006, 53.299799999999998), (-6.2998400000000006, 53.299799999999998), (-6.3004699999999998, 53.299399999999999), (-6.3028399999999998, 53.2986), (-6.3057400000000001, 53.2973), (-6.3081100000000001, 53.296500000000002), (-6.3096300000000003, 53.296100000000003), (-6.3127300000000002, 53.2956), (-6.31501, 53.294899999999998), (-6.3153499999999996, 53.294699999999999), (-6.3164400000000001, 53.2943), (-6.3166500000000001, 53.2943), (-6.3168199999999999, 53.294199999999996), (-6.3173699999999995, 53.2941), (-6.3177099999999999, 53.293999999999997), (-6.3177900000000005, 53.293999999999997), (-6.3183099999999994, 53.293799999999997), (-6.3216800000000006, 53.293100000000003), (-6.3261900000000004, 53.292099999999998), (-6.3271199999999999, 53.291899999999998), (-6.3274699999999999, 53.291800000000002), (-6.3274699999999999, 53.291800000000002), (-6.32918, 53.291400000000003), (-6.3306399999999998, 53.290100000000002), (-6.3307799999999999, 53.290100000000002), (-6.33127, 53.290100000000002), (-6.3331599999999995, 53.289999999999999), (-6.3338099999999997, 53.289700000000003), (-6.3349699999999993, 53.289299999999997), (-6.3370800000000003, 53.288699999999999), (-6.3391099999999998, 53.288400000000003), (-6.3393499999999996, 53.289099999999998), (-6.3423800000000004, 53.289499999999997), (-6.3491300000000006, 53.288800000000002), (-6.3528500000000001, 53.288600000000002), (-6.3555099999999998, 53.288200000000003), (-6.3555099999999998, 53.288200000000003), (-6.3579699999999999, 53.288200000000003), (-6.3605800000000006, 53.288000000000004), (-6.3612000000000002, 53.2879), (-6.3612699999999993, 53.2879), (-6.3677199999999994, 53.288999999999994), (-6.3705099999999995, 53.290300000000002), (-6.3755100000000002, 53.289200000000001), (-6.3752699999999995, 53.286000000000001), (-6.3846499999999997, 53.283200000000001), (-6.3841199999999994, 53.281399999999998), (-6.3841199999999994, 53.281399999999998), (-6.3836000000000004, 53.278999999999996), (-6.3809199999999997, 53.277500000000003), (-6.3789699999999998, 53.2761), (-6.38009, 53.273699999999998), (-6.3879000000000001, 53.273299999999999), (-6.3946500000000004, 53.275700000000001), (-6.3822299999999998, 53.2729), (-6.3856699999999993, 53.2729), (-6.3888400000000001, 53.273400000000002), (-6.3916199999999996, 53.273800000000001), (-6.3942500000000004, 53.274900000000002), (-6.3947500000000002, 53.276200000000003), (-6.3948800000000006, 53.277000000000001), (-6.3951900000000004, 53.277999999999999), (-6.3951900000000004, 53.277999999999999), (-6.3952200000000001, 53.278100000000002), (-6.3969199999999997, 53.277799999999999), (-6.3993800000000007, 53.276499999999999), (-6.4004900000000005, 53.275500000000001), (-6.4022800000000002, 53.274500000000003), (-6.4058000000000002, 53.2742), (-6.41073, 53.2746), (-6.4152500000000003, 53.275100000000002), (-6.4169099999999997, 53.275399999999998), (-6.4186300000000003, 53.277099999999997), (-6.4203599999999996, 53.278599999999997), (-6.4214099999999998, 53.280799999999999), (-6.4214900000000004, 53.282600000000002), (-6.4215800000000005, 53.283499999999997), (-6.4217699999999995, 53.284999999999997), (-6.42225, 53.287399999999998), (-6.4242900000000001, 53.288800000000002), (-6.42666, 53.290100000000002), (-6.42666, 53.290100000000002), (-6.4272199999999993, 53.290700000000001), (-6.4272, 53.290700000000001), (-6.4272, 53.290700000000001), (-6.4272, 53.290700000000001)
5	47	(-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998), (-6.2334800000000001, 53.342399999999998)
6	8	(-6.2582100000000001, 53.347799999999999), (-6.4272499999999999, 53.290799999999997), (-6.4272499999999999, 53.290799999999997), (-6.4272900000000002, 53.290799999999997), (-6.4272900000000002, 53.290799999999997), (-6.4271799999999999, 53.291400000000003), (-6.4265499999999998, 53.290100000000002), (-6.4272099999999996, 53.2911)
